Rank;Player;Age;Tm;First;Pts Won;Pts Max;Share;G;MP;PTS;TRB;AST;STL;BLK;FG%;3P%;FT%;WS;WS/48;Year
1;Michael Jordan;27;CHI;77.0;891.0;960;0.928;82;37.0;31.май;6.0;05.май;02.июл;1.0;0.539;0.312;0.851;20.мар;0.321;1991
2;Magic Johnson;31;LAL;10.0;497.0;960;0.518;79;37.1;19.апр;7.0;12.май;01.мар;0.2;0.477;0.32;0.906;15.апр;0.251;1991
3;David Robinson;25;SAS;6.0;476.0;960;0.496;82;37.7;25.июн;13.0;02.май;01.май;03.сен;0.552;0.143;0.762;17.0;0.264;1991
4;Charles Barkley;27;PHI;2.0;222.0;960;0.231;67;37.3;27.июн;10.янв;04.фев;01.июн;0.5;0.57;0.284;0.722;13.апр;0.258;1991
5;Karl Malone;27;UTA;0.0;142.0;960;0.148;82;40.3;29.0;11.авг;03.мар;01.янв;1.0;0.527;0.286;0.77;15.май;0.225;1991
6;Clyde Drexler;28;POR;1.0;75.0;960;0.078;82;34.8;21.май;06.июл;6.0;01.авг;0.7;0.482;0.319;0.794;12.апр;0.209;1991
7;Kevin Johnson;24;PHO;0.0;32.0;960;0.033;77;36.0;22.фев;03.май;10.янв;02.янв;0.1;0.516;0.205;0.843;12.июл;0.22;1991
8;Dominique Wilkins;31;ATL;0.0;29.0;960;0.03;81;38.0;25.сен;9.0;03.мар;01.май;0.8;0.47;0.341;0.829;11.апр;0.177;1991
9T;Larry Bird;34;BOS;0.0;25.0;960;0.026;60;38.0;19.апр;08.май;07.фев;01.авг;1.0;0.454;0.389;0.891;06.июн;0.14;1991
9T;Terry Porter;27;POR;0.0;25.0;960;0.026;81;32.9;17.0;03.май;8.0;2.0;0.1;0.515;0.415;0.823;13.0;0.235;1991
11;Patrick Ewing;28;NYK;0.0;20.0;960;0.021;81;38.3;26.июн;11.фев;3.0;1.0;03.фев;0.514;0.0;0.745;10.0;0.155;1991
12;John Stockton;28;UTA;0.0;15.0;960;0.016;82;37.8;17.фев;02.сен;14.фев;02.сен;0.2;0.507;0.345;0.836;14.0;0.217;1991
13;Isiah Thomas;29;DET;0.0;11.0;960;0.011;48;34.5;16.фев;03.мар;09.мар;01.июн;0.2;0.435;0.292;0.782;03.апр;0.098;1991
14;Robert Parish;37;BOS;0.0;10.0;960;0.01;81;30.янв;14.сен;10.июн;0.8;0.8;01.мар;0.598;0.0;0.767;10.0;0.198;1991
15;Joe Dumars;27;DET;0.0;8.0;960;0.008;80;38.1;20.апр;02.мар;05.май;01.янв;0.1;0.481;0.311;0.89;09.сен;0.155;1991
16;Bernard King;34;WSB;0.0;7.0;960;0.007;64;37.5;28.апр;5.0;04.июн;0.9;0.3;0.472;0.216;0.79;03.май;0.07;1991
17;Kenny Smith;25;HOU;0.0;5.0;960;0.005;78;34.6;17.июл;02.янв;07.янв;01.апр;0.1;0.52;0.363;0.844;9.0;0.161;1991
18;Hakeem Olajuwon;28;HOU;0.0;4.0;960;0.004;56;36.8;21.фев;13.авг;02.мар;02.фев;03.сен;0.508;0.0;0.769;08.июн;0.201;1991
19T;Tim Hardaway;24;GSW;0.0;1.0;960;0.001;82;39.2;22.сен;4.0;09.июл;02.июн;0.1;0.476;0.385;0.803;09.сен;0.148;1991
19T;Kevin McHale;33;BOS;0.0;1.0;960;0.001;68;30.апр;18.апр;07.янв;01.сен;0.4;02.янв;0.553;0.405;0.829;07.сен;0.182;1991
1;Michael Jordan;28;CHI;80.0;900.0;960;0.938;80;38.8;30.янв;06.апр;06.янв;02.мар;0.9;0.519;0.27;0.832;17.июл;0.274;1992
2;Clyde Drexler;29;POR;12.0;561.0;960;0.584;76;36.2;25.0;06.июн;06.июл;01.авг;0.9;0.47;0.337;0.794;12.авг;0.223;1992
3;David Robinson;26;SAS;2.0;337.0;960;0.351;68;37.7;23.фев;12.фев;02.июл;02.мар;04.май;0.551;0.125;0.701;13.сен;0.26;1992
4;Karl Malone;28;UTA;1.0;262.0;960;0.273;81;37.7;28.0;11.фев;3.0;01.мар;0.6;0.526;0.176;0.778;15.янв;0.237;1992
5;Patrick Ewing;29;NYK;0.0;100.0;960;0.104;82;38.4;24.0;11.фев;01.сен;01.янв;3.0;0.522;0.167;0.738;13.0;0.198;1992
6;Chris Mullin;28;GSW;0.0;81.0;960;0.084;81;41.3;25.июн;05.июн;03.май;02.янв;0.8;0.524;0.366;0.833;10.авг;0.155;1992
7;Mark Price;27;CLE;0.0;66.0;960;0.069;72;29.июл;17.мар;02.апр;07.апр;01.мар;0.2;0.488;0.387;0.947;09.янв;0.205;1992
8;Tim Hardaway;25;GSW;0.0;64.0;960;0.067;81;41.1;23.апр;03.авг;10.0;2.0;0.2;0.461;0.338;0.766;09.фев;0.132;1992
9;Scottie Pippen;26;CHI;1.0;32.0;960;0.033;82;38.6;21.0;07.июл;7.0;01.сен;01.янв;0.506;0.2;0.76;12.июл;0.192;1992
10;Dennis Rodman;30;DET;0.0;26.0;960;0.027;82;40.3;09.авг;18.июл;02.мар;0.8;0.9;0.539;0.317;0.6;12.июн;0.183;1992
11;Brad Daugherty;26;CLE;0.0;24.0;960;0.025;73;36.2;21.май;10.апр;03.июн;0.9;01.янв;0.57;0.0;0.777;11.июл;0.213;1992
12T;Charles Barkley;28;PHI;0.0;18.0;960;0.019;75;38.4;23.янв;11.янв;04.янв;01.авг;0.6;0.552;0.234;0.695;12.мар;0.205;1992
12T;John Stockton;29;UTA;0.0;18.0;960;0.019;82;36.6;15.авг;03.мар;13.июл;3.0;0.3;0.482;0.407;0.842;13.апр;0.215;1992
14;Larry Bird;35;BOS;0.0;3.0;960;0.003;45;36.9;20.фев;09.июн;06.авг;0.9;0.7;0.466;0.406;0.926;05.май;0.159;1992
15;Kevin Johnson;25;PHO;0.0;2.0;960;0.002;78;37.2;19.июл;03.июл;10.июл;01.май;0.3;0.479;0.217;0.807;10.0;0.165;1992
16T;Danny Manning;25;LAC;0.0;1.0;960;0.001;82;35.4;19.мар;06.сен;03.май;01.июн;01.май;0.542;0.0;0.725;09.авг;0.162;1992
16T;Detlef Schrempf;29;IND;0.0;1.0;960;0.001;80;32.6;17.мар;09.июн;03.сен;0.8;0.5;0.536;0.324;0.828;09.авг;0.181;1992
1;Charles Barkley;29;PHO;59.0;835.0;980;0.852;76;37.6;25.июн;12.фев;05.янв;01.июн;1.0;0.52;0.305;0.765;14.апр;0.242;1993
2;Hakeem Olajuwon;30;HOU;22.0;647.0;980;0.66;82;39.5;26.янв;13.0;03.май;01.авг;04.фев;0.529;0.0;0.779;15.авг;0.234;1993
3;Michael Jordan;29;CHI;13.0;565.0;980;0.577;78;39.3;32.6;06.июл;05.май;02.авг;0.8;0.495;0.352;0.837;17.фев;0.27;1993
4;Patrick Ewing;30;NYK;4.0;359.0;980;0.366;81;37.1;24.фев;12.янв;01.сен;0.9;2.0;0.503;0.143;0.719;10.июн;0.17;1993
5;Dominique Wilkins;33;ATL;0.0;54.0;980;0.055;71;37.3;29.сен;06.авг;03.фев;1.0;0.4;0.468;0.38;0.828;10.май;0.191;1993
6;David Robinson;27;SAS;0.0;33.0;980;0.034;82;39.2;23.апр;11.июл;03.июл;01.май;03.фев;0.501;0.176;0.732;13.фев;0.197;1993
7;Shaquille O'Neal;20;ORL;0.0;30.0;980;0.031;81;37.9;23.апр;13.сен;01.сен;0.7;03.май;0.562;0.0;0.592;10.апр;0.163;1993
8T;Karl Malone;29;UTA;0.0;10.0;980;0.01;82;37.8;27.0;11.фев;03.авг;01.май;1.0;0.552;0.2;0.74;15.апр;0.238;1993
8T;Mark Price;28;CLE;0.0;10.0;980;0.01;75;31.июл;18.фев;02.июл;8.0;01.фев;0.1;0.484;0.416;0.948;09.авг;0.197;1993
10T;Brad Daugherty;27;CLE;0.0;1.0;980;0.001;71;37.9;20.фев;10.фев;04.апр;0.7;0.8;0.571;0.5;0.795;12.июл;0.226;1993
10T;Clyde Drexler;30;POR;0.0;1.0;980;0.001;49;34.1;19.сен;06.мар;05.июл;01.сен;0.8;0.429;0.233;0.839;6.0;0.171;1993
10T;Joe Dumars;29;DET;0.0;1.0;980;0.001;77;40.2;23.май;01.сен;4.0;1.0;0.1;0.466;0.375;0.864;09.янв;0.141;1993
10T;Shawn Kemp;23;SEA;0.0;1.0;980;0.001;78;33.1;17.авг;10.июл;2.0;01.май;01.сен;0.492;0.0;0.712;09.янв;0.169;1993
10T;John Stockton;30;UTA;0.0;1.0;980;0.001;82;34.9;15.янв;02.сен;12.0;02.апр;0.3;0.486;0.385;0.798;10.июн;0.177;1993
1;Hakeem Olajuwon;31;HOU;66.0;889.0;1010;0.88;80;41.0;27.мар;11.сен;03.июн;01.июн;03.июл;0.528;0.421;0.716;14.мар;0.21;1994
2;David Robinson;28;SAS;24.0;730.0;1010;0.723;80;40.5;29.авг;10.июл;04.авг;01.июл;03.мар;0.507;0.345;0.749;20.0;0.296;1994
3;Scottie Pippen;28;CHI;7.0;390.0;1010;0.386;72;38.3;22.0;08.июл;05.июн;02.сен;0.8;0.491;0.32;0.66;11.фев;0.194;1994
4;Shaquille O'Neal;21;ORL;3.0;289.0;1010;0.286;81;39.8;29.мар;13.фев;02.апр;0.9;02.сен;0.599;0.0;0.554;16.сен;0.252;1994
5;Patrick Ewing;31;NYK;1.0;255.0;1010;0.252;79;37.6;24.май;11.фев;02.мар;01.янв;02.июл;0.496;0.286;0.765;13.янв;0.211;1994
6;Gary Payton;25;SEA;0.0;20.0;1010;0.02;82;35.1;16.май;03.мар;6.0;02.мар;0.2;0.504;0.278;0.595;09.мар;0.155;1994
7T;Shawn Kemp;24;SEA;0.0;17.0;1010;0.017;79;32.9;18.янв;10.авг;02.июн;01.авг;02.янв;0.538;0.25;0.741;11.июл;0.216;1994
7T;Karl Malone;30;UTA;0.0;17.0;1010;0.017;82;40.6;25.фев;11.май;4.0;01.май;01.май;0.497;0.25;0.694;13.апр;0.193;1994
9;Mark Price;29;CLE;0.0;7.0;1010;0.007;76;31.4;17.мар;3.0;07.авг;01.апр;0.1;0.478;0.397;0.888;10.0;0.201;1994
10;Charles Barkley;30;PHO;0.0;5.0;1010;0.005;65;35.4;21.июн;11.фев;04.июн;01.июн;0.6;0.495;0.27;0.704;08.авг;0.185;1994
11T;Mookie Blaylock;26;ATL;0.0;1.0;1010;0.001;81;36.0;13.авг;05.фев;09.июл;02.июн;0.5;0.411;0.334;0.73;10.фев;0.168;1994
11T;Kevin Johnson;27;PHO;0.0;1.0;1010;0.001;67;36.6;20.0;02.май;09.май;01.сен;0.1;0.487;0.222;0.819;08.июл;0.17;1994
11T;Dennis Rodman;32;SAS;0.0;1.0;1010;0.001;79;37.8;04.июл;17.мар;02.мар;0.7;0.4;0.534;0.208;0.52;08.июл;0.14;1994
11T;Latrell Sprewell;23;GSW;0.0;1.0;1010;0.001;82;43.1;21.0;04.сен;04.июл;02.фев;0.9;0.433;0.361;0.774;8.0;0.108;1994
11T;John Stockton;31;UTA;0.0;1.0;1010;0.001;82;36.2;15.янв;03.янв;12.июн;02.апр;0.3;0.528;0.322;0.805;13.фев;0.214;1994
11T;Dominique Wilkins;34;TOT;0.0;1.0;1010;0.001;74;35.6;26.0;06.май;02.мар;01.фев;0.4;0.44;0.288;0.847;08.апр;0.153;1994
11T;Kevin Willis;31;ATL;0.0;1.0;1010;0.001;80;35.8;19.янв;12.0;01.сен;1.0;0.5;0.499;0.375;0.713;10.фев;0.17;1994
1;David Robinson;29;SAS;73.0;901.0;1050;0.858;81;38.0;27.июн;10.авг;02.сен;01.июл;03.фев;0.53;0.3;0.774;17.май;0.273;1995
2;Shaquille O'Neal;22;ORL;12.0;605.0;1050;0.576;79;37.0;29.мар;11.апр;02.июл;0.9;02.апр;0.583;0.0;0.533;14.0;0.23;1995
3;Karl Malone;31;UTA;14.0;532.0;1050;0.507;82;38.1;26.июл;10.июн;03.май;01.июн;1.0;0.536;0.268;0.742;13.авг;0.212;1995
4;Patrick Ewing;32;NYK;2.0;230.0;1050;0.219;79;37.0;23.сен;11.0;02.июл;0.9;2.0;0.503;0.286;0.75;09.июн;0.157;1995
5;Hakeem Olajuwon;32;HOU;1.0;147.0;1050;0.14;72;39.6;27.авг;10.авг;03.май;01.авг;03.апр;0.517;0.188;0.756;10.июл;0.181;1995
6;Charles Barkley;31;PHO;1.0;96.0;1050;0.091;68;35.0;23.0;11.янв;04.янв;01.июн;0.7;0.486;0.338;0.748;10.июн;0.214;1995
7;Scottie Pippen;29;CHI;1.0;83.0;1050;0.079;79;38.2;21.апр;08.янв;05.фев;02.сен;01.янв;0.48;0.345;0.716;11.авг;0.188;1995
8;John Stockton;32;UTA;1.0;47.0;1050;0.045;82;35.0;14.июл;03.янв;12.мар;02.апр;0.3;0.542;0.449;0.804;13.сен;0.233;1995
9;Gary Payton;26;SEA;0.0;34.0;1050;0.032;82;36.8;20.июн;03.апр;07.янв;02.май;0.2;0.509;0.302;0.716;11.июл;0.187;1995
10;Anfernee Hardaway;23;ORL;0.0;23.0;1050;0.022;77;37.7;20.сен;04.апр;07.фев;01.июл;0.3;0.512;0.349;0.769;10.июл;0.177;1995
11;Michael Jordan;31;CHI;0.0;12.0;1050;0.011;17;39.3;26.сен;06.сен;05.мар;01.авг;0.8;0.411;0.5;0.801;02.мар;0.167;1995
12;Dennis Rodman;33;SAS;0.0;9.0;1050;0.009;49;32.0;07.янв;16.авг;2.0;0.6;0.5;0.571;0.0;0.676;05.авг;0.178;1995
13;Jason Kidd;21;DAL;0.0;7.0;1050;0.007;79;33.8;11.июл;05.апр;07.июл;01.сен;0.3;0.385;0.272;0.698;03.июл;0.066;1995
14;Clyde Drexler;32;TOT;0.0;3.0;1050;0.003;76;35.9;21.авг;06.мар;04.авг;01.авг;0.6;0.461;0.36;0.824;11.июл;0.206;1995
15;Cedric Ceballos;25;LAL;0.0;1.0;1050;0.001;58;35.0;21.июл;8.0;01.авг;1.0;0.3;0.509;0.397;0.716;05.фев;0.123;1995
1;Michael Jordan;32;CHI;109.0;1114.0;1130;0.986;82;37.7;30.апр;06.июн;04.мар;02.фев;0.5;0.495;0.427;0.834;20.апр;0.317;1996
2;David Robinson;30;SAS;0.0;574.0;1130;0.508;82;36.8;25.0;12.фев;3.0;01.апр;03.мар;0.516;0.333;0.761;18.мар;0.29;1996
3;Anfernee Hardaway;24;ORL;2.0;360.0;1130;0.319;82;36.8;21.июл;04.мар;07.янв;2.0;0.5;0.513;0.314;0.767;14.апр;0.229;1996
4;Hakeem Olajuwon;33;HOU;1.0;238.0;1130;0.211;72;38.8;26.сен;10.сен;03.июн;01.июн;02.сен;0.514;0.214;0.724;09.июл;0.166;1996
5;Scottie Pippen;30;CHI;0.0;226.0;1130;0.2;77;36.7;19.апр;06.апр;05.сен;01.июл;0.7;0.463;0.374;0.679;12.мар;0.209;1996
6;Gary Payton;27;SEA;0.0;98.0;1130;0.087;81;39.0;19.мар;04.фев;07.май;02.сен;0.2;0.484;0.328;0.748;11.май;0.174;1996
7;Karl Malone;32;UTA;1.0;85.0;1130;0.075;82;38.0;25.июл;09.авг;04.фев;01.июл;0.7;0.519;0.4;0.723;15.янв;0.233;1996
8;Shawn Kemp;26;SEA;0.0;73.0;1130;0.065;79;33.3;19.июн;11.апр;02.фев;01.фев;01.июн;0.561;0.417;0.742;11.фев;0.205;1996
9T;Grant Hill;23;DET;0.0;63.0;1130;0.056;80;40.8;20.фев;09.авг;06.сен;01.мар;0.6;0.462;0.192;0.751;11.июл;0.172;1996
9T;Shaquille O'Neal;23;ORL;0.0;63.0;1130;0.056;54;36.0;26.июн;11.0;02.сен;0.6;02.янв;0.573;0.5;0.487;06.сен;0.171;1996
11;John Stockton;33;UTA;0.0;12.0;1130;0.011;82;35.5;14.июл;02.авг;11.фев;01.июл;0.2;0.538;0.422;0.83;13.0;0.214;1996
12T;Charles Barkley;32;PHO;0.0;8.0;1130;0.007;71;37.1;23.фев;11.июн;03.июл;01.июн;0.8;0.5;0.28;0.777;10.май;0.191;1996
12T;Magic Johnson;36;LAL;0.0;8.0;1130;0.007;32;29.сен;14.июн;05.июл;06.сен;0.8;0.4;0.466;0.379;0.856;03.июн;0.181;1996
14;Alonzo Mourning;25;MIA;0.0;6.0;1130;0.005;70;38.2;23.фев;10.апр;02.мар;1.0;02.июл;0.523;0.3;0.685;09.сен;0.178;1996
15;Dennis Rodman;34;CHI;0.0;4.0;1130;0.004;64;32.6;05.май;14.сен;02.май;0.6;0.4;0.48;0.111;0.528;06.фев;0.143;1996
16T;Terrell Brandon;25;CLE;0.0;3.0;1130;0.003;75;34.3;19.мар;03.мар;06.май;01.авг;0.4;0.465;0.387;0.887;12.июл;0.237;1996
16T;Mitch Richmond;30;SAC;0.0;3.0;1130;0.003;81;36.4;23.янв;03.мар;03.янв;01.май;0.2;0.447;0.437;0.866;09.мар;0.151;1996
1;Karl Malone;33;UTA;63.0;986.0;1150;0.857;82;36.6;27.апр;09.сен;04.май;01.апр;0.6;0.55;0.0;0.755;16.июл;0.268;1997
2;Michael Jordan;33;CHI;52.0;957.0;1150;0.832;82;37.9;29.июн;05.сен;04.мар;01.июл;0.5;0.486;0.374;0.833;18.мар;0.283;1997
3;Grant Hill;24;DET;0.0;376.0;1150;0.327;80;39.3;21.апр;9.0;07.мар;01.авг;0.6;0.496;0.303;0.711;14.июн;0.223;1997
4;Tim Hardaway;30;MIA;0.0;238.0;1150;0.207;81;38.7;20.мар;03.апр;08.июн;01.сен;0.1;0.415;0.344;0.799;12.сен;0.198;1997
5;Glen Rice;29;CHH;0.0;134.0;1150;0.117;79;42.6;26.авг;4.0;2.0;0.9;0.3;0.477;0.47;0.867;10.авг;0.154;1997
6;Gary Payton;28;SEA;0.0;105.0;1150;0.091;82;39.2;21.авг;04.июн;07.янв;02.апр;0.2;0.476;0.313;0.715;12.сен;0.193;1997
7;Hakeem Olajuwon;34;HOU;0.0;95.0;1150;0.083;78;36.6;23.фев;09.фев;3.0;01.май;02.фев;0.51;0.313;0.787;09.янв;0.154;1997
8;Patrick Ewing;34;NYK;0.0;57.0;1150;0.05;78;37.0;22.апр;10.июл;2.0;0.9;02.апр;0.488;0.222;0.754;09.авг;0.163;1997
9T;Anthony Mason;30;CHH;0.0;7.0;1150;0.006;73;43.1;16.фев;11.апр;05.июл;1.0;0.5;0.525;0.333;0.745;11.апр;0.173;1997
9T;Shaquille O'Neal;24;LAL;0.0;7.0;1150;0.006;51;38.1;26.фев;12.май;03.янв;0.9;02.сен;0.557;0.0;0.484;8.0;0.197;1997
11;Scottie Pippen;31;CHI;0.0;6.0;1150;0.005;82;37.7;20.фев;06.май;05.июл;01.сен;0.5;0.474;0.368;0.701;13.янв;0.203;1997
12;Alonzo Mourning;26;MIA;0.0;5.0;1150;0.004;66;35.2;19.авг;09.сен;01.июн;0.8;02.сен;0.534;0.111;0.642;08.апр;0.174;1997
13T;Dikembe Mutombo;30;ATL;0.0;4.0;1150;0.003;80;37.2;13.мар;11.июн;01.апр;0.6;03.мар;0.527;;0.705;11.мар;0.183;1997
13T;Mitch Richmond;31;SAC;0.0;4.0;1150;0.003;81;38.6;25.сен;03.сен;04.фев;01.май;0.3;0.454;0.428;0.861;10.авг;0.166;1997
15;John Stockton;34;UTA;0.0;3.0;1150;0.003;82;35.3;14.апр;02.авг;10.май;2.0;0.2;0.548;0.422;0.846;13.июн;0.226;1997
16;Charles Barkley;33;HOU;0.0;2.0;1150;0.002;53;37.9;19.фев;13.май;04.июл;01.мар;0.5;0.484;0.283;0.694;09.апр;0.224;1997
17T;Tom Gugliotta;27;MIN;0.0;1.0;1150;0.001;81;38.7;20.июн;08.июл;04.янв;01.июн;01.янв;0.442;0.258;0.82;06.июл;0.103;1997
